T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
144,Sri Lanka,2021,Current health expenditure (% of GDP),4.1,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
144,Sri Lanka,2005,Domestic general government health expenditure (% of total government expenditure),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
144,Sri Lanka,2010,Domestic general government health expenditure (% of total government expenditure),7.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
144,Sri Lanka,2015,Domestic general government health expenditure (% of total government expenditure),8.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
144,Sri Lanka,2019,Domestic general government health expenditure (% of total government expenditure),9.5,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
144,Sri Lanka,2020,Domestic general government health expenditure (% of total government expenditure),9.5,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
144,Sri Lanka,2021,Domestic general government health expenditure (% of total government expenditure),9.5,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2005,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Including South Sudan.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2010,Current health expenditure (% of GDP),5.1,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Including South Sudan.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2015,Current health expenditure (% of GDP),5.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2019,Current health expenditure (% of GDP),4.6,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2020,Current health expenditure (% of GDP),3.0,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2021,Current health expenditure (% of GDP),2.8,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2005,Domestic general government health expenditure (% of total government expenditure),8.1,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Including South Sudan.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2010,Domestic general government health expenditure (% of total government expenditure),9.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Including South Sudan.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2015,Domestic general government health expenditure (% of total government expenditure),6.7,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2019,Domestic general government health expenditure (% of total government expenditure),5.6,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2020,Domestic general government health expenditure (% of total government expenditure),9.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
729,Sudan,2021,Domestic general government health expenditure (% of total government expenditure),7.9,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2005,Current health expenditure (% of GDP),5.2,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2010,Current health expenditure (% of GDP),4.7,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2015,Current health expenditure (% of GDP),5.8,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2019,Current health expenditure (% of GDP),8.7,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2020,Current health expenditure (% of GDP),6.8,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2021,Current health expenditure (% of GDP),5.7,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2005,Domestic general government health expenditure (% of total government expenditure),10.6,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2010,Domestic general government health expenditure (% of total government expenditure),9.5,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2015,Domestic general government health expenditure (% of total government expenditure),10.9,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2019,Domestic general government health expenditure (% of total government expenditure),15.7,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2020,Domestic general government health expenditure (% of total government expenditure),14.8,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
740,Suriname,2021,Domestic general government health expenditure (% of total government expenditure),10.0,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2005,Current health expenditure (% of GDP),8.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2010,Current health expenditure (% of GDP),8.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2015,Current health expenditure (% of GDP),10.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2019,Current health expenditure (% of GDP),10.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2020,Current health expenditure (% of GDP),11.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2021,Current health expenditure (% of GDP),11.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2005,Domestic general government health expenditure (% of total government expenditure),12.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2010,Domestic general government health expenditure (% of total government expenditure),13.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2015,Domestic general government health expenditure (% of total government expenditure),18.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2019,Domestic general government health expenditure (% of total government expenditure),18.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2020,Domestic general government health expenditure (% of total government expenditure),18.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
752,Sweden,2021,Domestic general government health expenditure (% of total government expenditure),19.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2005,Current health expenditure (% of GDP),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2010,Current health expenditure (% of GDP),9.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2015,Current health expenditure (% of GDP),10.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2019,Current health expenditure (% of GDP),11.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2020,Current health expenditure (% of GDP),11.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2021,Current health expenditure (% of GDP),11.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2005,Domestic general government health expenditure (% of total government expenditure),9.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2010,Domestic general government health expenditure (% of total government expenditure),10.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2015,Domestic general government health expenditure (% of total government expenditure),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2019,Domestic general government health expenditure (% of total government expenditure),11.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2020,Domestic general government health expenditure (% of total government expenditure),11.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
756,Switzerland,2021,Domestic general government health expenditure (% of total government expenditure),11.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
760,Syrian Arab Republic,2005,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
760,Syrian Arab Republic,2010,Current health expenditure (% of GDP),3.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
760,Syrian Arab Republic,2005,Domestic general government health expenditure (% of total government expenditure),7.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
760,Syrian Arab Republic,2010,Domestic general government health expenditure (% of total government expenditure),5.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2005,Current health expenditure (% of GDP),5.2,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2010,Current health expenditure (% of GDP),5.7,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2015,Current health expenditure (% of GDP),6.9,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2019,Current health expenditure (% of GDP),6.9,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2020,Current health expenditure (% of GDP),8.2,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2021,Current health expenditure (% of GDP),8.0,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2005,Domestic general government health expenditure (% of total government expenditure),4.3,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2010,Domestic general government health expenditure (% of total government expenditure),4.5,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2015,Domestic general government health expenditure (% of total government expenditure),6.4,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2019,Domestic general government health expenditure (% of total government expenditure),6.6,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2020,Domestic general government health expenditure (% of total government expenditure),7.4,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
762,Tajikistan,2021,Domestic general government health expenditure (% of total government expenditure),7.0,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2005,Current health expenditure (% of GDP),3.2,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2010,Current health expenditure (% of GDP),3.4,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2015,Current health expenditure (% of GDP),3.9,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2019,Current health expenditure (% of GDP),3.8,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2020,Current health expenditure (% of GDP),4.4,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2021,Current health expenditure (% of GDP),5.2,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2005,Domestic general government health expenditure (% of total government expenditure),10.5,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2010,Domestic general government health expenditure (% of total government expenditure),11.6,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2015,Domestic general government health expenditure (% of total government expenditure),12.5,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2019,Domestic general government health expenditure (% of total government expenditure),12.5,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2020,Domestic general government health expenditure (% of total government expenditure),11.9,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
764,Thailand,2021,Domestic general government health expenditure (% of total government expenditure),13.5,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2005,Current health expenditure (% of GDP),5.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2010,Current health expenditure (% of GDP),6.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2015,Current health expenditure (% of GDP),7.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2019,Current health expenditure (% of GDP),6.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2020,Current health expenditure (% of GDP),10.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2021,Current health expenditure (% of GDP),11.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2005,Domestic general government health expenditure (% of total government expenditure),3.6,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2010,Domestic general government health expenditure (% of total government expenditure),2.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2015,Domestic general government health expenditure (% of total government expenditure),4.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2019,Domestic general government health expenditure (% of total government expenditure),4.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2020,Domestic general government health expenditure (% of total government expenditure),6.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
626,Timor-Leste,2021,Domestic general government health expenditure (% of total government expenditure),7.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2005,Current health expenditure (% of GDP),3.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2010,Current health expenditure (% of GDP),4.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2015,Current health expenditure (% of GDP),5.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2019,Current health expenditure (% of GDP),5.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2020,Current health expenditure (% of GDP),6.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2021,Current health expenditure (% of GDP),5.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2005,Domestic general government health expenditure (% of total government expenditure),3.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2010,Domestic general government health expenditure (% of total government expenditure),7.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2015,Domestic general government health expenditure (% of total government expenditure),4.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2019,Domestic general government health expenditure (% of total government expenditure),5.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2020,Domestic general government health expenditure (% of total government expenditure),3.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
768,Togo,2021,Domestic general government health expenditure (% of total government expenditure),2.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2005,Current health expenditure (% of GDP),4.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2010,Current health expenditure (% of GDP),4.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2015,Current health expenditure (% of GDP),4.5,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2019,Current health expenditure (% of GDP),4.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2020,Current health expenditure (% of GDP),5.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2021,Current health expenditure (% of GDP),6.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2005,Domestic general government health expenditure (% of total government expenditure),13.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2010,Domestic general government health expenditure (% of total government expenditure),10.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2015,Domestic general government health expenditure (% of total government expenditure),7.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2019,Domestic general government health expenditure (% of total government expenditure),7.5,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2020,Domestic general government health expenditure (% of total government expenditure),7.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
776,Tonga,2021,Domestic general government health expenditure (% of total government expenditure),7.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2005,Current health expenditure (% of GDP),4.4,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2010,Current health expenditure (% of GDP),5.1,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2015,Current health expenditure (% of GDP),5.7,Provisional data.;Data refer to fiscal years beginning 1 October.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2019,Current health expenditure (% of GDP),6.8,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2020,Current health expenditure (% of GDP),7.5,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2021,Current health expenditure (% of GDP),7.0,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2005,Domestic general government health expenditure (% of total government expenditure),8.0,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2010,Domestic general government health expenditure (% of total government expenditure),8.0,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2015,Domestic general government health expenditure (% of total government expenditure),8.3,Provisional data.;Data refer to fiscal years beginning 1 October.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2019,Domestic general government health expenditure (% of total government expenditure),10.2,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2020,Domestic general government health expenditure (% of total government expenditure),9.6,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
780,Trinidad and Tobago,2021,Domestic general government health expenditure (% of total government expenditure),11.1,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2005,Current health expenditure (% of GDP),5.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2010,Current health expenditure (% of GDP),5.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2015,Current health expenditure (% of GDP),6.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2019,Current health expenditure (% of GDP),6.0,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2020,Current health expenditure (% of GDP),7.1,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2021,Current health expenditure (% of GDP),7.0,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2005,Domestic general government health expenditure (% of total government expenditure),11.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2010,Domestic general government health expenditure (% of total government expenditure),13.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2015,Domestic general government health expenditure (% of total government expenditure),12.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2019,Domestic general government health expenditure (% of total government expenditure),12.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2020,Domestic general government health expenditure (% of total government expenditure),12.5,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
788,Tunisia,2021,Domestic general government health expenditure (% of total government expenditure),12.4,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
792,Türkiye,2005,Current health expenditure (% of GDP),4.9,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
792,Türkiye,2010,Current health expenditure (% of GDP),5.0,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
792,Türkiye,2015,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
